Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2019,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,,,,,Delhi Capitals,,,,
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,,,,,Kolkata Knight Riders,,,,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,,,,,Sunrisers Hyderabad,,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,,,,NA,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,,,,,Chennai Super Kings,,,,
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,,,,,Mumbai Indians,,,,
2019,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2019,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,,,,,Delhi Capitals,,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2019,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,,,,,Mumbai Indians,,,,
2019,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,,,,,Delhi Capitals,,,,
2019,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,,,,,Mumbai Indians,,,,
2022,"Wankhede Stadium, Mumbai",Chennai,Kolkata,Kolkata,Field,,,,,Kolkata,,,,
2022,"Brabourne Stadium, Mumbai",Delhi,Mumbai,Delhi,Field,,,,,Delhi,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Banglore,Punjab,Punjab,Field,,,,,Punjab,,,,
